User ID;Rank;Skipper;Team;Points
6028a16fd7d77a6aa447c119;6306;Fanatic77;Les pinpins navigateurs;51869
5d9dc0ac6f64cfd4344655db;6307;Amelien;Team Bagad;51860
5bddadb6517022fc09d55259;6308;dahud56;BZH Family Sailing Team;51860
60367cd0d7d77a6aa48022a5;6309;Olandese volante; ;51860
5fa6fcbaa73ee05018210600;6310;capitainepierre;Club Skippers Amateur;51860
5bdec15c517022fc09d63d87;6311;zouzou59;FRANCE ;51858
5bdee7ca517022fc09d6d460;6312;thyjlut56;Delphini;51855
5ee3be4e52e859ef03ef9b1f;6313;bah76;MRM;51842
5bd453a2517022fc09d2d10d;6314;pegasevol; ;51839
59f250c3e0750e372d673f3c;6315;Phareric;Kastel Paol;51837
59ce8a01b395b292ed631699;6316;calus92;CSE Sagemcom;51837
6366a9d9953800bdff07c9e4;6317;Gus Tavia;TEAM STICKERMAN;51837
63b45742a0d2186db68d9b23;6318;bichounet06; ;51834
607db75b37e7cb7ea8bf01e7;6319;Pierrot.4424; ;51834
5fa3d4d2a73ee0501853a672;6320;parson; ;51834
5fa3aef6a73ee0501890f044;6321;uzeslepetit; ;51832
59fae5a1e0750e372d684e8b;6322;FGA14; ;51827
5ea075cf080c8cbd451c1820;6323;RORY G.; ;51826
63a573b6e228bcc9ea5a9c41;6324;Weiherblasch; ;51825
59ccd6fbb395b292ed62ee14;6325;Tomship-CNE;CNE;51821
63567084707f31b3509530b6;6326;"L""apache"; ;51821
59c60cddb395b292ed628922;6327;La Noë Bernard 44119; ;51820
5f9d5265a73ee05018de9543;6328;currenorslater; ;51820
5db975b134559d27edbd576e;6329;dapirat;Fun&Sail;51819
5a02eacc7b296eaadfc18b71;6330;Paul nat;Passos Family;51819
5aba9d7a7b296eaadfcef533;6331;MIRANDES 2; ;51819
5bda0d3d517022fc09d3d9a3;6332;maudluc; ;51817
59c8e591b395b292ed62b652;6333;Tinko;EUSKAL HERRIA rock&ron;51817
5fa5a9e5a73ee05018f7b60b;6334;lnovent29;Le temps des cerises;51815
59fcd068e0750e372d689684;6335;PCH72550;OCEAN DREAM;51811
59fdcc07e0750e372d68d828;6336;padraigh; ;51809
5fa67045a73ee05018afaf40;6337;Chapomoca; ;51809
5b36646d517022fc09cec7da;6338;CORNUE 85; ;51806
5a5413cd7b296eaadfc980e1;6339;Hjalliksen palli; ;51805
59f064b7e0750e372d66d6a0;6340;ponette; ;51803
5fa7c913a73ee0501842a307;6341;Flamenco1; ;51802
617113492a05eec9711551f9;6342;gabymou; ;51802
5f9f194ba73ee0501852f07c;6343;Cepafo;Cepafo;51801
59ecc5ede0750e372d65989a;6344;OTF85;Formateurs CACES;51800
5d939a0a6f64cfd43442cdf4;6345;christophedlm; ;51800
5cab606b517022fc0911549e;6346;Karie974-SFF;SAIL FOR FREEDOM;51800
59c17955b395b292ed621e1d;6347;Pianais290;ORCA;51800
5fa6c682a73ee05018d7f57c;6348;lessablesdecroutelle;The Croutelle Team;51798
636686674b7ed519f52432aa;6349;RBlaze35; ;51797
61b2295d2a05eec9711c6817;6350;Ricardo2301;Pépé Team;51797
5fad04eba73ee05018b4997e;6351;BreizhMoul; ;51796
6303bc8cc962188db4747f85;6352;Syl20_94_parch_way; ;51792
5faf77d006999515a3d9655f;6353;ThSef;On a pas de carie;51792
5f7c5c5c52e859ef03097e39;6354;patou44390; ;51789
62e6d1318c6fa6461815b715;6355;samline53; ;51787
63651e9478bddea2617de52d;6356;Damoiseau 50°; ;51787
5e182db798b1b8ca596a4683;6357;Magic Bee; ;51783
59c144d3b395b292ed621953;6358;PAT42; ;51773
5fa515aaa73ee05018c573e6;6359;Godibo; ;51771
5e74ddd9080c8cbd450aa451;6360;MoyenBateau; ;51768
59c768e1b395b292ed629fe3;6361;strzala; ;51768
5bdf463a517022fc09d8b465;6362;MPH; ;51762
5ad894217b296eaadfcfcc50;6363;PS@ARG8047;Argentos;51758
5fa69278a73ee050181e8223;6364;Rouvix72; ;51756
5fa7e56ea73ee05018eed8ff;6365;JimboSaintSé; ;51754
59c92fbeb395b292ed62ba92;6366;marelys; ;51752
59c4c453b395b292ed626532;6367;UNNA20/75;Germany Bathtub Racing :);51751
59c4e66db395b292ed62683b;6368;Japy17; ;51751
59f72125e0750e372d67d499;6369;yerba; ;51747
59c0e78fb395b292ed621112;6370;philippe8366;Catalans Roussillon CR66;51747
